0	﻿دانشکده	﻿دانشکده	﻿دانشکده	_	_
1	مدیریت	مدیریت	مدیریت	_	_
2	دانشگاه	دانشگاه	دانشگاه	_	_
3	تهران	تهران	تهران	_	_
4	؛	؛	؛	_	_
5	داده	داده	داده	_	_
6	کاوی	کاو	کاو	_	_
7	چیست	چیست	چیست	_	_
8	و	و	و	_	_
9	چه	چه	چه	_	_
10	فایده	فایده	فایده	_	_
11	ای	ای	ای	_	_
12	دارد	دارد	داشت	_	_
13	؟	؟	؟	_	_

0	داده	داده	داده	_	_
1	کاوی	کاو	کاو	_	_
2	علم	علم	علم	_	_
3	و	و	و	_	_
4	فنی	فن	فن	_	_
5	است	است		_	_
6	که	که	که	_	_
7	در	در	در	_	_
8	سالهای	سالهای	سالهای	_	_
9	اخیر	اخیر	اخیر	_	_
10	و	و	و	_	_
11	با	با	با	_	_
12	گسترش	گسترش	گسترش	_	_
13	استفاده	استفاده	استفاده	_	_
14	از	از	از	_	_
15	فناوری	فناوری	فناوری	_	_
16	اطلاعات	اطلاع	اطلاعات	_	_
17	و	و	و	_	_
18	سیستم	سیس	سیستم	_	_
19	های		های	_	_
20	اطلاعاتی	اطلاعات	اطلاعات	_	_
21	مورد	مورد	مورد	_	_
22	توجه	توجه	توجه	_	_
23	سازمان	سازمان	سازمان	_	_
24	ها		ها	_	_
25	قرار	قرار	قرار	_	_
26	گرفت	گرفت	گرفت	_	_
27	.	.	.	_	_

0	داده	داده	داده	_	_
1	کاوی	کاو	کاو	_	_
2	کاربردهای	کاربرد	کاربرد	_	_
3	مختلفی	مختلف	مختلف	_	_
4	برای	برای	برای	_	_
5	سازمان	سازمان	سازمان	_	_
6	ها		ها	_	_
7	دارد	دارد	داشت	_	_
8	و	و	و	_	_
9	می	می	می	_	_
10	تواند	تواند	توانست	_	_
11	برای	برای	برای	_	_
12	شرکت	شرک	شرکت	_	_
13	ها		ها	_	_
14	در	در	در	_	_
15	زمینه	زمینه	زمینه	_	_
16	های		های	_	_
17	مهمی	مهم	مهم	_	_
18	مثل	مثل	مثل	_	_
19	بازاریابی	بازاریاب	بازاریابی	_	_
20	و	و	و	_	_
21	فروش	فرو	فروش	_	_
22	بسیار	بسیار	بسیار	_	_
23	راهگشا	راهگشا	راهگشا	_	_
24	و	و	و	_	_
25	مفید	مفید	مفید	_	_
26	باشد	باشد	بود	_	_
27	.	.	.	_	_

0	در	در	در	_	_
1	ادامه	ادامه	ادامه	_	_
2	با	با	با	_	_
3	مفهوم	مفهوم	مفهوم	_	_
4	داده	داده	داده	_	_
5	و	و	و	_	_
6	اطلاعات	اطلاع	اطلاعات	_	_
7	آشنا	آشنا	آشنا	_	_
8	میشویم	میشو	میشویم	_	_
9	و	و	و	_	_
10	سپس	سپس	سپس	_	_
11	با	با	با	_	_
12	معنای	معنا	معنا	_	_
13	داده	داده	داده	_	_
14	کاوی	کاو	کاو	_	_
15	و	و	و	_	_
16	کاربردهای	کاربرد	کاربرد	_	_
17	آن	آن	آن	_	_
18	بیشتر	بی	بیشتر	_	_
19	آشنا	آشنا	آشنا	_	_
20	خواهیم‌شد	خواهیم‌شد	شد	_	_
21	:	:	:	_	_
22	داده	داده	داده	_	_
23	با	با	با	_	_
24	اطلاعات	اطلاع	اطلاعات	_	_
25	چه	چه	چه	_	_
26	فرقی	فرق	فرق	_	_
27	دارد	دارد	داشت	_	_
28	؟	؟	؟	_	_

0	بسیاری	بسیار	بسیار	_	_
1	از	از	از	_	_
2	مردم	مرد	مردم	_	_
3	به	به	به	_	_
4	اشتباه	اشتباه	اشتباه	_	_
5	می	می	می	_	_
6	پندارند	پندارند	پندارند	_	_
7	که	که	که	_	_
8	داده	داده	داده	_	_
9	با	با	با	_	_
10	اطلاعات	اطلاع	اطلاعات	_	_
11	تفاوت	تفاوت	تفاوت	_	_
12	ندارد	ندارد	داشت	_	_
13	و	و	و	_	_
14	عموما	عموما	عموما	_	_
15	این	این	این	_	_
16	دو	دو	دو	_	_
17	واژه	واژه	واژه	_	_
18	را	را	را	_	_
19	به	به	به	_	_
20	جای	جا	جای	_	_
21	هم	هم	هم	_	_
22	استفاده	استفاده	استفاده	_	_
23	می	می	می	_	_
24	کنند	کنند	کرد	_	_
25	.	.	.	_	_

0	داده	داده	داده	_	_
1	می	می	می	_	_
2	تواند	تواند	توانست	_	_
3	هر	هر	هر	_	_
4	نوع	نوع	نوع	_	_
5	از	از	از	_	_
6	کاراکتر	کاراک	کاراکتر	_	_
7	شامل	شامل	شامل	_	_
8	متن	متن	متن	_	_
9	،	،	،	_	_
10	عدد	عدد	عدد	_	_
11	،	،	،	_	_
12	کلمه	کلمه	کلمه	_	_
13	،	،	،	_	_
14	صدا	صدا	صدا	_	_
15	و	و	و	_	_
16	تصویر	تصویر	تصویر	_	_
17	باشد	باشد	بود	_	_
18	و	و	و	_	_
19	در	در	در	_	_
20	صورتی	صورت	صورت	_	_
21	که	که	که	_	_
22	توسط	توسط	توسط	_	_
23	انسان	انس	انسان	_	_
24	مشاهده	مشاهده	مشاهده	_	_
25	شود	شود	شد	_	_
26	لزوما	لزوما	لزوما	_	_
27	معنای	معنا	معنا	_	_
28	خاصی	خاص	خاص	_	_
29	هم	هم	هم	_	_
30	در	در	در	_	_
31	بر	بر	بر	_	_
32	نخواهد‌داشت	نخواهد‌دا	داشت	_	_
33	.	.	.	_	_

0	داده	داده	داده	_	_
1	ها		ها	_	_
2	عموما	عموما	عموما	_	_
3	خام	خام	خام	_	_
4	،	،	،	_	_
5	دسته	دسته	دسته	_	_
6	بندی	بند	بست	_	_
7	و	و	و	_	_
8	طبقه	طبقه	طبقه	_	_
9	بندی	بند	بست	_	_
10	نشده	نشده	شد	_	_
11	هستند	هستند		_	_
12	و	و	و	_	_
13	در	در	در	_	_
14	صورتی	صورت	صورت	_	_
15	که	که	که	_	_
16	بخواهیم	بخواه	خواست	_	_
17	از	از	از	_	_
18	آنها	آن	آن	_	_
19	به	به	به	_	_
20	صورت	صور	صورت	_	_
21	مستقیم	مستقیم	مستقیم	_	_
22	استفاده	استفاده	استفاده	_	_
23	کنیم	کنیم	کرد	_	_
24	عموما	عموما	عموما	_	_
25	بی	بی	بی	_	_
26	فایده	فایده	فایده	_	_
27	خواهد‌بود	خواهد‌بود	بود	_	_
28	.	.	.	_	_

0	حال	حال	حال	_	_
1	آنکه	آنکه	آنکه	_	_
2	پس	پس	پس	_	_
3	از	از	از	_	_
4	طبقه	طبقه	طبقه	_	_
5	بندی	بند	بست	_	_
6	،	،	،	_	_
7	دسته	دسته	دسته	_	_
8	بندی	بند	بست	_	_
9	و	و	و	_	_
10	ساختاردهی	ساختارده	ساختاردهی	_	_
11	به	به	به	_	_
12	داده	داده	داده	_	_
13	ها		ها	_	_
14	اطلاعات	اطلاع	اطلاعات	_	_
15	به	به	به	_	_
16	وجود	وجود	وجود	_	_
17	می	می	می	_	_
18	آید	آید	آمد	_	_
19	.	.	.	_	_

0	می	می	می	_	_
1	توان	تو	توان	_	_
2	از	از	از	_	_
3	داده	داده	داده	_	_
4	ها		ها	_	_
5	برای	برای	برای	_	_
6	تصمیم	تصمیم	تصمیم	_	_
7	گیری	گیر	گرفت	_	_
8	و	و	و	_	_
9	یا	یا	یا	_	_
10	ایجاد	ایجاد	ایجاد	_	_
11	دانش	دانش	دانش	_	_
12	در	در	در	_	_
13	مورد	مورد	مورد	_	_
14	یک	یک	یک	_	_
15	مقوله	مقوله	مقوله	_	_
16	استفاده	استفاده	استفاده	_	_
17	کرد	کرد	کرد	_	_
18	.	.	.	_	_

0	اطلاعات	اطلاع	اطلاعات	_	_
1	عموما	عموما	عموما	_	_
2	برای	برای	برای	_	_
3	کاربر	کاربر	کاربر	_	_
